Function,Mean,Std,Convergence
F1,100.012,0.013,0:125055579.6;100:47222.2;200:784.0;300:118.0;400:100.8;500:100.0
F2,200.0,0.0,0:8457598734.6;100:78936.8;200:286.0;300:200.0;400:200.0;500:200.0
F3,300.0,0.0,0:292361.2;100:322.6;200:300.0;300:300.0;400:300.0;500:300.0
F4,428.691,12.178,0:1723.4;100:429.2;200:428.8;300:428.8;400:428.8;500:428.8
F5,520.315,0.079,0:521.0;100:520.2;200:520.0;300:520.0;400:520.0;500:520.0
F6,600.0,0.0,0:613.0;100:603.6;200:600.4;300:600.0;400:600.0;500:600.0
F7,700.329,0.071,0:826.6;100:701.0;200:700.4;300:700.2;400:700.0;500:700.0
F8,811.08,2.026,0:908.4;100:824.4;200:819.2;300:816.2;400:813.4;500:811.2
F9,923.436,2.5,0:1011.0;100:934.6;200:930.6;300:927.4;400:924.4;500:923.4
F10,1384.299,47.688,0:3240.2;100:1843.2;200:1662.2;300:1529.8;400:1411.8;500:1384.2
F11,2133.395,99.864,0:3338.4;100:2462.4;200:2328.0;300:2328.0;400:2173.4;500:2133.6
F13,1300.161,0.038,0:1304.0;100:1300.0;200:1300.0;300:1300.0;400:1300.0;500:1300.0
F14,1400.189,0.023,0:1445.2;100:1400.0;200:1400.0;300:1400.0;400:1400.0;500:1400.0
F15,1501.625,0.268,0:59037.2;100:1503.4;200:1502.4;300:1501.8;400:1501.8;500:1501.8
F16,1602.743,0.184,0:1604.0;100:1603.2;200:1603.0;300:1603.0;400:1603.0;500:1603.0
F17,1703.933,1.161,0:5153061.4;100:3163.4;200:1781.6;300:1717.4;400:1706.4;500:1704.0
F18,1803.477,1.078,0:21430694.8;100:1862.4;200:1810.0;300:1806.0;400:1805.0;500:1803.8
F19,1902.699,0.226,0:1336670.6;100:1908.8;200:1904.2;300:1903.0;400:1903.0;500:1902.8
F20,2002.925,0.703,0:94953138529.0;100:3612.6;200:2016.2;300:2007.2;400:2005.4;500:2003.0
F21,2100.889,0.524,0:23354517.8;100:2372.8;200:2120.4;300:2104.8;400:2102.0;500:2101.0
F22,2264.341,88.39,0:1892807070.4;100:2282.2;200:2270.8;300:2268.8;400:2264.8;500:2264.2
F23,2542.228,0.0,0:2694.2;100:2542.0;200:2542.0;300:2542.0;400:2542.0;500:2542.0
F24,2525.258,2.934,0:2619.6;100:2541.6;200:2537.0;300:2531.6;400:2529.4;500:2525.4
F25,2688.577,23.669,0:2717.4;100:2699.0;200:2696.2;300:2691.2;400:2688.2;500:2688.2
F26,2700.156,0.027,0:2706.0;100:2700.0;200:2700.0;300:2700.0;400:2700.0;500:2700.0
F27,3100.1,0.0,0:3298.6;100:3100.0;200:3100.0;300:3100.0;400:3100.0;500:3100.0
F28,3182.781,37.107,0:4266.2;100:3188.4;200:3182.8;300:3182.8;400:3182.8;500:3182.8
F29,5151702.39,324462.907,0:123675179.8;100:5153165.6;200:5151702.6;300:5151702.6;400:5151702.6;500:5151702.6
F30,5328.449,3.351,0:178877893.0;100:24643.8;200:6242.8;300:5383.8;400:5347.2;500:5328.6
